"AC No.","AC Name","Winning Party","Winning Candidate","Winner Votes","Runner Up Party","Runner Up Candidate","Runner Up Votes","Voting Turnout %","Total Voters","Winning Margin","District Name"
"180","Doddaballapur","INC","T VENKATARAMANAIAH","73,225","JDS","B MUNEGOWDA","63,280","82.65%","203,190","9,945","BANGALORE RURAL"
"181","Nelamangala","JDS","DR. K .SREENIVASAMURTHY","69,277","INC","R NARAYANASWAMY","44,956","79.06%","203,743","24,321","BANGALORE RURAL"
"182","Magadi","JDS","A MANJUNATH","119,492","INC","H.C. BALAKRISHNA","68,067","85.83%","224,815","51,425","RAMANAGARAM"
"183","Ramanagaram","JDS","H D KUMARSWAMY","92,626","INC","IQBAL HUSSAIN.H.A","69,990","82.55%","206,982","22,636","RAMANAGARAM"
"184","Kanakapura","INC","D K SHIVAKUMAR","127,552","JDS","NARAYANA GOWDA","47,643","83.16%","222,584","79,909","RAMANAGARAM"
"185","Channapatna","JDS","H D KUMARSWAMY","87,995","BJP","C P YOGEESHWARA","66,465","85.86%","217,573","21,530","RAMANAGARAM"
"186","Malavalli","JDS","K ANNADANI","103,038","INC","P.M.NARENDRASWAMY","76,278","80.74%","238,716","26,760","MANDYA"
"187","Maddur","JDS","D.C.THAMMANNA","109,239","INC","MADHU G MADEGOWDA","55,209","82.86%","205,373","54,030","MANDYA"
"188","Melukote","JDS","C S PUTTARAJU","96,003","Swaraj India","DARSHAN PUTTANNAIAH","73,779","86.88%","195,440","22,224","MANDYA"
"189","Mandya","JDS","M SRINIVAS","69,421","INC","P RAVIKUMAR","47,813","72.13%","227,541","21,608","MANDYA"
"190","Shrirangapattana","JDS","RAVINDRA SRIKANTAIAH","101,307","INC","A.B.RAMESHA BANDISIDDEGOWDA","57,619","83.85%","208,911","43,688","MANDYA"
"191","Nagamangala","JDS","SURESH GOWDAA","112,396","INC","N CHALUVARAYASWAMY","64,729","87.11%","206,533","47,667","MANDYA"
"192","Krishnarajpet","JDS","NARAYANAGOWDA","88,016","INC","K B CHANDRASHEKAR","70,897","83.87%","205,486","17,119","MANDYA"
"193","Shravanabelagola","JDS","BALAKRISHNA C N","105,516","INC","C S PUTTEGOWDA","52,504","82.34%","202,070","53,012","HASSAN"
"194","Arsikere","JDS","K.M SHIVALINGE GOWDA","93,986","INC","G.B.SHASHIDHARA","50,297","82.29%","208,241","43,689","HASSAN"
"195","Belur","JDS","LINGESH","64,268","BJP","H.K. SURESH","44,578","79.41%","190,465","19,690","HASSAN"
"196","Hassan","BJP","PRITHAM GOWDA","63,348","JDS","H S PRAKASH","50,342","71.34%","212,373","13,006","HASSAN"
"197","Holenarasipur","JDS","H D REVANNA","108,541","JDS","MANJEGOWDA B P","64,709","85.56%","208,968","43,832","HASSAN"
"198","Arakalgud","JDS","A. T. RAMASWAMY","85,064","INC","MANJU .A","74,411","87.32%","","10,653","HASSAN"
"199","Sakaleshpur","JDS","H K KUMARASWAMY","62,262","BJP","SOMASHEKAR JAYARAJ","57,320","82.07%","195,505","4,942","HASSAN"
"200","Belthangady","BJP","HARISH PUNJA","98,417","INC","K.VASANTHA BANGERA","75,443","81.50%","218,880","22,974","DAKSHINA KANNADA"
"201","Moodabidri","BJP","UMANATHA KOTIAN","87,444","INC","K. ABHAYACHANDRA JAIN","57,645","75.95%","200,045","29,799","DAKSHINA KANNADA"
"202","Mangalore City North","BJP","BHARATH SHETTY","98,648","INC","B.A.MOHIUDDIN BAVA","72,000","74.42%","234,826","26,648","DAKSHINA KANNADA"
"203","Mangalore City South","BJP","VEDA VYASA KAMATH","86,545","INC","J. R. LOBO","70,470","67.47%","240,057","16,075","DAKSHINA KANNADA"
"204","Mangalore","INC","U T KHADER","80,813","BJP","SANTHOSH KUMAR RAI BOLIYARU","61,074","75.86%","195,735","19,739","DAKSHINA KANNADA"
"205","Bantwal","BJP","RAJESH NAIK U.","97,802","INC","B RAMANATHA RAI","81,831","81.90%","221,735","15,971","DAKSHINA KANNADA"
"206","Puttur","BJP","SANJEEV MATHANDUR","90,073","INC","SHAKUNTHALA.T. SHETTY","70,596","81.69%","201,884","19,477","DAKSHINA KANNADA"
"207","Sullia","BJP","ANGARA S","95,205","INC","DR.B.RAGHU","69,137","83.64%","198,686","26,068","DAKSHINA KANNADA"
"208","Madikeri","BJP","APPACHU RANJAN M P","70,631","JDS","B A JIVIJAYA","54,616","77.47%","216,937","16,015","KODAGU"
"209","Virajpet","BJP","K G BOPAIAH","77,944","INC","ARUN MACHAIAH C S","64,591","72.34%","216,909","13,353","KODAGU"
"210","Piriyapatna","JDS","K. MAHADEVA","77,770","INC","K. VENKATESH","70,277","85.80%","180,411","7,493","MYSORE"
"211","Krishnarajanagara","JDS","SA. RA. MAHESH","85,011","INC","D. RAVISHANKAR","83,232","85.79%","204,115","1,779","MYSORE"
"212","Hunsur","JDS","H VISHWANATH","91,667","INC","H P MANJUNATH","83,092","82.73%","224,558","8,575","MYSORE"
"213","Heggadadevankote","INC","ANIL KUMAR C","76,652","JDS","CHIKKANNA","54,559","79.11%","214,874","22,093","MYSORE"
"214","Nanjangud","BJP","HARSHA VARDHAN","78,030","INC","KALALE N. KESHAVAMURTHY","65,551","78.16%","209,121","12,479","MYSORE"
"215","Chamundeshwari","JDS","G T DEVE GOWDA","121,325","INC","SIDDARAMAIAH","85,283","76.05%","295,815","36,042","MYSORE"
"216","Krishnaraja","BJP","S A RAMADAS","78,573","INC","M K SOMASHEKHAR","52,226","58.86%","247,082","26,347","MYSORE"
"217","Chamaraja","BJP","L NAGENDRA","51,683","INC","VASU","36,747","59.18%","235,647","14,936","MYSORE"
"218","Narasimharaja","INC","TANVEER SAIT","62,268","BJP","S.SATHEESH (SANDESH SWAMY)","44,141","61.43%","262,300","18,127","MYSORE"
"219","Varuna","INC","YATHEENDRA SIDDARAMAIAH","96,435","BJP","T BASAVARAJU","37,819","78.59%","221,050","58,616","MYSORE"
"220","T. Narasipur","JDS","ASHWIN KUMAR","83,929","INC","DR. H.C.MAHADEVAPPA","55,451","78.08%","198,434","28,478","MYSORE"
"221","Hanur","INC","R NARENDRA","60,444","BJP","DR. PREETHAN NAGAPPA","56,931","81.61%","207,603","3,513","CHAMARAJNAGAR"
"222","Kollegal","OTHERS","N MAHESH","71,792","INC","A.R. KRISHNA MURTHY","52,338","79.15%","211,522","19,454","CHAMARAJNAGAR"
"223","Chamarajanagar","INC","PUTTARANGA SHETTY","75,963","BJP","K R MALLIKARJUNAPPA","71,050","80.41%","206,146","4,913","CHAMARAJNAGAR"
"224","Gundlupet","BJP","C S NIRANJANKUMAR","94,151","INC","M C MOHAN KUMARI URUF GEETHA","77,467","87.50%","205,616","16,684","CHAMARAJNAGAR"
